;0
0;0.00447570451867973
1;0.004352489004223324
2;0.00435906095342108
3;0.004328969877472704
4;0.004166169609071863
5;0.004483423991474462
6;0.0026491665661792395
7;0.00195472253324735
8;-0.003195741544607496
9;-0.006736684667779174
10;-0.009050940841988772
11;-0.015045619640683077
12;-0.01562144584914372
13;-0.017494186139182223
14;-0.019776349514572848
15;-0.011746858324288022
16;-0.005194142319852424
17;0.0027946003028134184
18;0.00467130122354821
19;0.005964074836641503
20;0.0085708600772256
21;0.008571938564332592
22;0.007966710099556582
23;0.004863875918422414
