;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
0;1.02;1.0198704845662256;1.0194180366416556;1.0190263147875631;1.0186939808404871;1.0184408993552847;1.01825305631669;1.0181349874999146;1.0180706409245548;1.0191958831883883;1.0185893962353638;1.0180493061112328;1.0175565331150567;1.017221759487398;1.0169509025590175;1.0167436827286984;1.0166054914964497;1.016537579762799
1;1.02;1.019874803793114;1.0194102390170983;1.0190031761633664;1.0186547015707557;1.0183900163361594;1.0181886764907482;1.0180510847455773;1.0179839111078308;1.0192620338727734;1.0187047523050452;1.018218242661289;1.0177945453115844;1.0174361448340876;1.0171356285476856;1.016890469779763;1.0167519163269279;1.0166874064309621
2;1.02;1.019874577564405;1.0193811374302255;1.0189472019920527;1.0185727248595424;1.0182787377002056;1.018052325477286;1.0179200642397175;1.0178566385682786;1.0192864093328522;1.018754518714207;1.0182947597908278;1.017895011002369;1.0175658398908645;1.0173001922116434;1.0171130011929652;1.0169899419003492;1.016932327311041
3;1.02;1.0198756334393522;1.0193960766873191;1.0189772548418263;1.0186208470764913;1.0183426820488113;1.0181283867980846;1.0179917330449837;1.0179205640710485;1.0192842608288053;1.0187507553902104;1.0182916320317736;1.0179030559100253;1.0175823100582615;1.017319791419413;1.0171189028467114;1.0169886316654868;1.01693002982095
4;1.02;1.019881340134904;1.0194390937901832;1.019052840680818;1.01872476645038;1.018467345362807;1.0182758621157113;1.0181458626534028;1.0180779041288543;1.0193179742922145;1.0188088955441539;1.0183677137934823;1.0179812694753094;1.017664693293826;1.0174106519767525;1.0172209839235515;1.017098001028605;1.0170468555393841
5;1.02;1.019870218944487;1.019289048591522;1.0187632072110917;1.0183490400513047;1.0180048841097487;1.0177222410271056;1.0175014831451592;1.017383479537244;1.0193163328212815;1.018820175235286;1.0184002821527942;1.0180444945048548;1.0177492997029447;1.0175086467638448;1.0173233723932682;1.017187637915455;1.0171255640574772
6;1.02;1.0199344648044504;1.0197284759716922;1.0195496676580789;1.019418553495879;1.019332823448082;1.019259864601139;1.0192140597899644;1.0191737284694165;1.0196749883724456;1.0194964225269474;1.019339477233919;1.019196018651066;1.01908671069021;1.018988228645412;1.0188876779230187;1.0188041869769817;1.0187500558884819
7;1.02;1.0199587378961483;1.0201536027289795;1.020306848976541;1.0204746981517925;1.0206533801739075;1.020775238788605;1.0208709605555955;1.0209107619279967;1.0195392828723882;1.0194374892580553;1.019426055561737;1.019493180679168;1.0195247022490983;1.0195354228102818;1.0195751213194542;1.0195353868739114;1.0195737491125072
8;1.02;1.0201382278433155;1.0211968477843227;1.0220273406049347;1.0228112958308564;1.0234429441805744;1.0239376703526681;1.024408570319387;1.0246213917917588;1.0208095394344772;1.0213825868597741;1.0220397982183482;1.022778891708125;1.0233106955011866;1.023576455440147;1.0238556252088742;1.023966178566785;1.0241641113637383
9;1.02;1.0202609856232876;1.0219606323387513;1.023338072027624;1.0246701387538069;1.0256610245126956;1.0265343198182952;1.0272927181041023;1.027686820485065;1.0218359534351673;1.0229807915032103;1.0240910286227798;1.0252041564617227;1.025949713135066;1.0263709692962044;1.026774970084302;1.0271633659188857;1.0274805148073936
